Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
KPLUF,K PLUS S AG ORD,OTCQX International Premier,15.950000,,0,Foreign Ordinary Shares,Germany,
KPLUY,K PLUS S AG S/ADR,OTCQX International Premier,7.910000,-3.536600,775,ADRs,Germany,
STWRY,SOFTWARE AG S/ADR,OTCQX International Premier,11.773500,,33,ADRs,Germany,
SWDAF,SOFTWARE AG,OTCQX International Premier,45.460000,,1,Foreign Ordinary Shares,Germany,
CCGGY,C&C GROUP PLC S/ADR,OTCQX International Premier,9.940000,7.112100,836,ADRs,Ireland,
EXPGF,EXPERIAN PLC ORD,OTCQX International Premier,45.910000,,0,Foreign Ordinary Shares,Ireland,
EXPGY,EXPERIAN PLC S/ADR,OTCQX International Premier,45.460000,-0.219500,37745,ADRs,Ireland,
WMMVY,WAL-MART DE MEX V S/ADR,OTCQX International Premier,36.408500,3.921800,39039,ADRs,Mexico,
GBOOF,GRUPO FIN BANORTE  ORD,OTCQX International Premier,6.962500,,33,Foreign Ordinary Shares,Mexico,
GBOOY,GRUPO FINC BANORTE S/ADR,OTCQX International Premier,34.440000,0.613500,7873,ADRs,Mexico,
NHYDY,NORSK HYDRO A S ADS,OTCQX International Premier,7.822000,-0.356700,50633,ADRs,Norway,
NHYKF,NORSK HYDRO AS ORD,OTCQX International Premier,7.860000,,0,Foreign Ordinary Shares,Norway,
ROSYY,PJSC ROSTELECOM S/ADR,OTCQX International Premier,8.090000,,0,ADRs,Russia,
RSHYY,RUSHYDRO PJSC S/ADR,OTCQX International Premier,1.150000,0.000000,1964,ADRs,Russia,
IMPUY,IMPALA PLATINUM HLDGS ADR,OTCQX International Premier,14.240000,0.140600,118472,ADRs,South Africa,
REPYF,REPSOL YPF SA ORD,OTCQX International Premier,13.450000,,17,Foreign Ordinary Shares,Spain,
REPYY,REPSOL SA SP/ADR,OTCQX International Premier,13.450000,0.523200,37171,ADRs,Spain,
RHHBF,ROCHE HOLDING LTD ORD,OTCQX International Premier,426.860000,0.025800,1,Foreign Ordinary Shares,Switzerland,
RHHBY,ROCHE HOLDING LTD S/ADR,OTCQX International Premier,48.740000,-0.204800,1020097,ADRs,Switzerland,
RHHVF,ROCHE HOLDING DIV RTS,OTCQX International Premier,384.080000,-2.269700,564,Rights,Switzerland,
ZFSVF,ZURICH INS GROUP ORD,OTCQX International Premier,434.925000,0.167000,134,Foreign Ordinary Shares,Switzerland,
ZURVY,ZURICH INS GROUP S/ADR,OTCQX International Premier,43.570000,0.461100,36333,ADRs,Switzerland,
ADRNY,KONINKLIJKE AD N.V. S/ADR,OTCQX International Premier,32.630000,0.092000,24529,ADRs,The Netherlands,
AHODF,KONINKLIJKE AHOLD DEL ORD,OTCQX International Premier,32.920000,,0,Foreign Ordinary Shares,The Netherlands,
HEINY,HEINEKEN N V S/ADR,OTCQX International Premier,54.090000,0.970700,15235,ADRs,The Netherlands,
